,yesNo,fileNames
89,1.0,Y246.JPG
101,1.0,Y12.jpg
233,0.0,no 3.jpg
172,0.0,no 98.jpg
55,1.0,Y108.jpg
224,0.0,no 95.jpg
72,1.0,Y32.jpg
48,1.0,Y95.jpg
8,1.0,Y46.jpg
219,0.0,42 no.jpg
50,1.0,Y56.jpg
181,0.0,36 no.jpg
75,1.0,Y244.JPG
59,1.0,Y18.JPG
183,0.0,47 no.jpg
190,0.0,38 no.jpg
203,0.0,no 90.jpg
148,1.0,Y165.JPG
82,1.0,Y247.JPG
206,0.0,No18.jpg
174,0.0,7 no.jpg
222,0.0,50 no.jpg
12,1.0,Y195.JPG
22,1.0,Y51.jpg
88,1.0,Y252.jpg
232,0.0,no 91.jpeg
15,1.0,Y168.jpg
109,1.0,Y17.jpg
142,1.0,Y60.jpg
105,1.0,Y103.jpg
198,0.0,N11.jpg
121,1.0,Y162.jpg
153,1.0,Y89.JPG
146,1.0,Y8.jpg
46,1.0,Y185.jpg
144,1.0,Y61.jpg
81,1.0,Y251.JPG
132,1.0,Y65.JPG
240,0.0,no 5.jpeg
110,1.0,Y16.JPG
228,0.0,37 no.jpg
102,1.0,Y13.jpg
189,0.0,no 923.jpg
116,1.0,Y28.jpg
194,0.0,1 no.jpeg
218,0.0,21 no.jpg
92,1.0,Y39.jpg
94,1.0,Y10.jpg
6,1.0,Y53.jpg
126,1.0,Y98.JPG
152,1.0,Y62.jpg
27,1.0,Y182.JPG
74,1.0,Y250.jpg
193,0.0,34 no.jpg
139,1.0,Y158.JPG
173,0.0,No11.jpg
212,0.0,40 no.jpg
164,0.0,no.jpg
97,1.0,Y114.JPG
237,0.0,N5.jpg
33,1.0,Y96.jpg
165,0.0,3 no.jpg
154,1.0,Y166.JPG
18,1.0,Y78.jpg
250,0.0,48 no.jpeg
119,1.0,Y105.jpg
51,1.0,Y184.JPG
226,0.0,no 94.jpg
69,1.0,Y33.jpg
247,0.0,27 no.jpg
63,1.0,Y25.jpg
241,0.0,4 no.jpg
136,1.0,Y148.JPG
21,1.0,Y45.JPG
117,1.0,Y29.jpg
236,0.0,13 no.jpg
103,1.0,Y249.JPG
188,0.0,45 no.jpg
3,1.0,Y180.jpg
62,1.0,Y31.jpg
111,1.0,Y258.JPG
19,1.0,Y50.JPG
25,1.0,Y92.jpg
90,1.0,Y115.JPG
238,0.0,6 no.jpg
39,1.0,Y54.jpg
38,1.0,Y40.JPG
107,1.0,Y113.JPG
118,1.0,Y15.jpg
44,1.0,Y3.jpg
86,1.0,Y34.jpg
130,1.0,Y59.JPG
120,1.0,Y111.JPG
211,0.0,31 no.jpg
61,1.0,Y30.jpg
227,0.0,No21.jpg
32,1.0,Y192.JPG
41,1.0,Y193.JPG
134,1.0,Y58.JPG
170,0.0,N15.jpg
214,0.0,17 no.jpg
249,0.0,no 6.jpg
160,0.0,18 no.jpg
114,1.0,Y104.jpg
35,1.0,Y55.jpg
145,1.0,Y75.JPG
28,1.0,Y155.JPG
229,0.0,N6.jpg
221,0.0,33 no.jpg
77,1.0,Y22.jpg
37,1.0,Y69.jpg
213,0.0,23 no.jpg
143,1.0,Y49.JPG
235,0.0,no 2.jpg
201,0.0,9 no.jpg
156,0.0,22 no.jpg
179,0.0,N17.jpg
73,1.0,Y254.jpg
95,1.0,Y38.jpg
141,1.0,Y74.jpg
84,1.0,Y21.jpg
209,0.0,N22.JPG
246,0.0,N3.jpg
131,1.0,Y71.JPG
14,1.0,Y156.JPG
47,1.0,Y81.jpg
230,0.0,29 no.jpg
76,1.0,Y36.JPG
200,0.0,No14.jpg
158,0.0,14 no.jpg
191,0.0,No17.jpg
57,1.0,Y242.JPG
192,0.0,49 no.jpg
239,0.0,no 1.jpg
215,0.0,N26.JPG
16,1.0,Y154.jpg
24,1.0,Y86.JPG
112,1.0,Y112.JPG
85,1.0,Y35.jpg
17,1.0,Y183.jpg
251,0.0,11 no.jpg
178,0.0,N16.jpg
9,1.0,Y91.jpg
60,1.0,Y24.jpg
208,0.0,19 no.jpg
20,1.0,Y44.JPG
5,1.0,Y47.JPG
245,0.0,39 no.jpg
54,1.0,Y153.jpg
124,1.0,Y73.jpg
248,0.0,35 no.jpg
70,1.0,Y27.jpg
0,1.0,Y157.JPG
10,1.0,Y85.JPG
11,1.0,Y181.jpg
23,1.0,Y79.jpg
29,1.0,Y4.jpg
31,1.0,Y186.jpg
42,1.0,Y187.jpg
43,1.0,Y1.jpg
45,1.0,Y146.JPG
52,1.0,Y2.jpg
53,1.0,Y147.JPG
56,1.0,Y120.JPG
58,1.0,Y256.JPG
65,1.0,Y257.jpg
66,1.0,Y243.JPG
71,1.0,Y26.jpg
78,1.0,Y23.JPG
80,1.0,Y245.jpg
83,1.0,Y253.JPG
87,1.0,Y20.jpg
93,1.0,Y11.jpg
96,1.0,Y100.JPG
98,1.0,Y102.jpg
99,1.0,Y116.JPG
